City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Acarau,BR,78.94,overcast clouds,-2.8856,-40.12,castelo pizzaria
149,Najran,SA,62.38,clear sky,17.4924,44.1277,محمد هادي ال فطيح
150,Northam,GB,50.41,overcast clouds,51.0333,-4.2167,Durrant House Hotel
152,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
154,Singleton,AU,74.91,overcast clouds,-32.5667,151.1833,Quest Singleton
157,Ambilobe,MG,72.95,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
158,Itarema,BR,78.94,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
159,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
161,Vanderhoof,CA,37.96,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
163,Macenta,GN,68.68,few clouds,8.5435,-9.471,Hôtel Yansané
164,Ucluelet,CA,55.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
165,Shingu,JP,44.91,light rain,33.7333,135.9833,Shingu UI Hotel
166,Biak,ID,75.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
167,Tuatapere,NZ,53.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
169,Dingle,PH,78.78,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
170,Airai,TL,66.47,broken clouds,-8.9266,125.4092,
172,Nanortalik,GL,30.15,light snow,60.1432,-45.2371,Hotel Kap Farvel
173,Rio Gallegos,AR,64.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
175,Hun,LY,51.44,clear sky,29.1268,15.9477,Alrwasi Hotel
176,Dois Vizinhos,BR,69.82,light rain,-25.7336,-53.0572,Dois Vizinhos Palace Hotel
177,Kuressaare,EE,36.95,broken clouds,58.2481,22.5039,Asa Spa Hotel
178,Kruisfontein,ZA,70.56,light rain,-34.0033,24.7314,Oyster Bay House Rental
179,Presidencia Roque Saenz Pena,AR,62.35,overcast clouds,-26.7852,-60.4388,Hotel Gualok
181,Laguna,US,79.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
183,Tosno,RU,36.63,light snow,59.54,30.8775,Baza Otdykha
186,Siva,EG,54.18,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
189,Labuhan,ID,78.48,light rain,-6.8844,112.2051,DoubleFAG
190,La Solana,ES,47.44,broken clouds,38.9442,-3.2381,Apartamento Prado
192,Port Blair,IN,74.93,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
193,Weligama,LK,74.8,overcast clouds,5.9667,80.4167,Weligama Bay Resort
194,Nsanje,MW,71.26,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
